group_type,group,attempts,compile_ready,semantic_wrong,no_mismatch,non_evaluable
build_view,clang_O2,84,84,2,82,0
build_view,gcc_O0,84,84,0,84,0
label,no_mismatch_under_exact_holdout_domain,166,166,0,166,0
label,semantic_wrong,2,2,2,0,0
project,BearSSL,8,8,0,8,0
project,TinyCC,32,32,0,32,0
project,chibicc,4,4,0,4,0
project,libb64,8,8,2,6,0
project,libtomcrypt,8,8,0,8,0
project,mbedtls,8,8,0,8,0
project,musl,32,32,0,32,0
project,sbase,32,32,0,32,0
project,sqlite,32,32,0,32,0
project,xxHash,4,4,0,4,0
prompt_family,P1,84,84,1,83,0
prompt_family,P2,84,84,1,83,0
status,natural_llm_minimally_normalized,168,168,2,166,0
